cprd_prodcode	description	description2	bnf_code
46355	Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Hydrochlorothiazide/Olmesartan medoxomil/Amlodipine besilate	2050502
53220	Sevikar HCT 40mg/10mg/25mg tablets (Daiichi Sankyo UK Ltd)	Hydrochlorothiazide/Amlodipine besilate/Olmesartan medoxomil	2050502
46687	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
46715	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
55358	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 25mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
46792	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
47467	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
56606	Azilsartan medoxomil 40mg tablets	Azilsartan medoxomil	2050502
51368	Azilsartan medoxomil 80mg tablets	Azilsartan medoxomil	2050502
51897	Edarbi 20mg tablets (Takeda UK Ltd)	Azilsartan medoxomil	2050502
5117	Amias 16mg tablets (Takeda UK Ltd)	Candesartan cilexetil	2050502
4155	Amias 2mg tablets (Takeda UK Ltd)	Candesartan cilexetil	2050502
31072	Amias 32mg tablets (Takeda UK Ltd)	Candesartan cilexetil	2050502
4685	Amias 4mg tablets (Takeda UK Ltd)	Candesartan cilexetil	2050502
5013	Amias 8mg tablets (Takeda UK Ltd)	Candesartan cilexetil	2050502
4741	Candesartan 16mg tablets	Candesartan cilexetil	2050502
52208	Candesartan 16mg tablets (A A H Pharmaceuticals Ltd)	Candesartan cilexetil	2050502
57977	Candesartan 16mg tablets (Alliance Healthcare (Distribution) Ltd)	Candesartan cilexetil	2050502
54414	Candesartan 16mg tablets (Consilient Health Ltd)	Candesartan cilexetil	2050502
